Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,397,14103
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,211,14289
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,337,14163
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,256,14244
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,377,14123
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,409,14091
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,377,14123
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,303,14197
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,0,14500,0,0,0
original_legacy_uppertriangular_train90_thresh0p50,90,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,0,14500,0,0,0
