TRAINRATIO,Metric,median,q25,q75,mean,sd,n_webs,MetricLabel
10,F1Score,0.560486213914,0.3754124784365,0.63677595112025,0.4947135395174207,0.2215067672725759,290,F1
10,Precision,0.70512475882,0.575409814996,0.8250994988845,0.6615230813639104,0.23502402157609553,290,Precision
10,ROC_AUC,0.766540638945,0.660809636979,0.80850237792275,0.7361892841667241,0.1151442844121923,290,ROC-AUC
10,TestMCC,0.4163819668245,0.26901736237475,0.5085780746095,0.3926492486289876,0.20006823213274247,290,MCC
20,F1Score,0.6198067341075,0.5088011728177501,0.74293648594075,0.6025815171760001,0.17428645049533675,290,F1
20,Precision,0.7859972038455,0.60254606978025,0.8934137255944999,0.7417612958794861,0.17267021722517664,290,Precision
20,ROC_AUC,0.7992111891145,0.70281124115975,0.882937145467,0.7840187022067691,0.12002547128829062,290,ROC-AUC
20,TestMCC,0.5001358523255,0.32184733006599997,0.65388043860075,0.4853090837012293,0.20157447740553922,290,MCC
30,F1Score,0.6597096168445,0.5235303470825,0.77958786157475,0.6390439502694655,0.16802769022630856,290,F1
30,Precision,0.8272659081485001,0.6395903236714999,0.9275357517939999,0.781300654451669,0.17070910097728156,290,Precision
30,ROC_AUC,0.843147223813,0.70496266203875,0.91758978288825,0.8147700643556206,0.12018657653762635,290,ROC-AUC
30,TestMCC,0.5470481230745,0.35730517553749996,0.70746990446625,0.5313099579149119,0.20503616016325632,290,MCC
40,F1Score,0.6455995396785,0.55327595618225,0.80853704259675,0.6539667219926242,0.1715645231520389,290,F1
40,Precision,0.8845212385925,0.70565124781675,0.94717136734,0.8185194941813242,0.1592227004940553,290,Precision
40,ROC_AUC,0.8829112099330001,0.7351613035245,0.92953663240275,0.8381237432077414,0.11566000438453912,290,ROC-AUC
40,TestMCC,0.5721281190185,0.4058446693365,0.74091411429,0.5611472761116445,0.19847627552983615,290,MCC
50,F1Score,0.6528332660745,0.56137773878375,0.8107122515477501,0.6628244056515276,0.18270517539036518,290,F1
50,Precision,0.90376414745,0.763766545739,0.96311775020125,0.8412342534465069,0.15433239269567814,290,Precision
50,ROC_AUC,0.8945024263745001,0.763241691526,0.9405652445574999,0.8551288045813863,0.10844776795338427,290,ROC-AUC
50,TestMCC,0.5834902794525,0.44485514499699996,0.7458940199602501,0.5798929000887206,0.20152380271947398,290,MCC
60,F1Score,0.6673984828720001,0.554154754935,0.82041555988775,0.6608592096503076,0.19785110415381307,290,F1
60,Precision,0.9179470171955,0.787734848946,0.9708421303817499,0.855825635447938,0.15278298684710717,290,Precision
60,ROC_AUC,0.8966593268495,0.7793174484185,0.94442446667975,0.8629169036486861,0.10610526748804634,290,ROC-AUC
60,TestMCC,0.5821655222015,0.45392334705424997,0.7566278125665,0.5876441786349562,0.2086399311426378,290,MCC
70,F1Score,0.6856556848845,0.56251499106,0.82079237075875,0.6662875066436879,0.20517429957538222,290,F1
70,Precision,0.939823665117,0.81672146080725,0.9778924567857501,0.8749635662774621,0.14108003473317193,290,Precision
70,ROC_AUC,0.8984384690339999,0.80275734094675,0.9512346724235,0.8700787476208379,0.10293325795884123,290,ROC-AUC
70,TestMCC,0.6037030550285,0.48389827780275,0.7661108654885,0.6016845178888934,0.2085376941005231,290,MCC
80,F1Score,0.695962083015,0.5472637089722501,0.81621143605075,0.666572319796077,0.2128655017286888,290,F1
80,Precision,0.9460661940990001,0.84195705947675,0.98630410185725,0.8924677509428792,0.12767006484014384,290,Precision
80,ROC_AUC,0.899157302706,0.8118869579085,0.9579639501715,0.8757850225931448,0.10105012291432011,290,ROC-AUC
80,TestMCC,0.6119884690495,0.50219920211475,0.7638645350637501,0.6135415114890806,0.20575673478006729,290,MCC
90,F1Score,0.710955818785,0.5156876806765001,0.82963756480875,0.6652185540158041,0.22756544223602154,290,F1
90,Precision,0.9705534411955,0.8780601859025,1.0,0.9040259965859552,0.14965572897759136,290,Precision
90,ROC_AUC,0.9092581365150001,0.82319874401575,0.9751518064615,0.8788201719388103,0.11129947703785768,290,ROC-AUC
90,TestMCC,0.632471061428,0.47512447047524997,0.7861556568179999,0.6206191601761551,0.21944012269024807,290,MCC
