Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
tau0p80_checkconnfalse,AEW01,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.575969460249,0.628421377885,0.052451917636,0.497291583795,0.707099254339,0.5972441167,0.5972441167,0.0382280414408,0.00540626146685,,,
tau0p80_checkconnfalse,AEW02,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,1,49,50,25,1,0.524291456398,0.577723552458,0.05343209606,0.444143312308,0.657871696548,0.551721013699,0.554033338994,0.0393796175607,0.00562565965152,,,
tau0p80_checkconnfalse,AEW03,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.53432909029,0.571127167015,0.0367980767257,0.479131975201,0.626324282104,0.552491905359,0.552491905359,0.0270725851372,0.00382864170695,,,
tau0p80_checkconnfalse,AEW04,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.536240075082,0.574010715438,0.037770640356,0.479584114548,0.630666675972,0.558079626183,0.558079626183,0.0301588224481,0.00426510157313,,,
tau0p80_checkconnfalse,AEW05,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,1,49,50,25,1,0.537166810977,0.577236695801,0.0400698848242,0.477061983741,0.637341523038,0.553491131493,0.555347999123,0.0319403965493,0.00456291379276,,,
tau0p80_checkconnfalse,AEW06,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.510475020845,0.568910435006,0.0584354141612,0.422821899603,0.656563556248,0.54133477272,0.54133477272,0.0415815403134,0.00588051782556,,,
tau0p80_checkconnfalse,AEW07,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,3,47,50,25,1,0.526097457933,0.574525453627,0.0484279956938,0.453455464392,0.647167447167,0.547665981877,0.55001746859,0.0300998583594,0.00439051558368,,,
tau0p80_checkconnfalse,AEW08,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,1,49,50,25,1,0.538835691425,0.583409911411,0.0445742199865,0.471974361445,0.650271241391,0.560472677113,0.562310754093,0.036535594614,0.00521937065914,,,
tau0p80_checkconnfalse,AEW09,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,2,48,50,25,1,0.559654692902,0.602769267207,0.0431145743053,0.494982831444,0.667441128665,0.576385498096,0.579905618414,0.0301309632173,0.00434902993111,,,
tau0p80_checkconnfalse,AEW11,WLNM_dir_neg,10,0.5,10,0,F1Score,F1,predictive,F1Score,,50,50,0,0,50,50,25,1,0.522098477788,0.580463105803,0.0583646280143,0.434551535767,0.668010047824,0.551265459099,0.551265459099,0.0383710888635,0.00542649142737,,,
